"root","x","Barrier","Kr","Kx","kAQP","perimeter","Kr2","radius","conductance"
"root1",19,"M3",3.73438579853852e-05,0.488690001814538,3e-04,0.157281054760234,4.32220578534551e-08,0.250320573197983,6.79801084809927e-09
"root1",19,"M1",7.53588815441332e-05,0.488690001814538,4e-04,0.157281054760234,8.72209277131171e-08,0.250320573197983,1.37181995078852e-08
"root1",19,"M2",4.05683896334475e-05,0.488690001814538,4e-04,0.157281054760234,4.6954154668342e-08,0.250320573197983,7.384998971612e-09
"root1",19,"M3",3.88480617311434e-05,0.488690001814538,4e-04,0.157281054760234,4.49630344110456e-08,0.250320573197983,7.07183347738995e-09
"root1",19,"M1",8.15977878617581e-05,0.488690001814538,5e-04,0.157281054760234,9.44418840992571e-08,0.250320573197983,1.48539191446749e-08
"root1",19,"M2",4.15094413662659e-05,0.488690001814538,5e-04,0.157281054760234,4.80433349146596e-08,0.250320573197983,7.55630638957684e-09
"root1",19,"M3",4.0007602977194e-05,0.488690001814538,5e-04,0.157281054760234,4.6305096038419e-08,0.250320573197983,7.28291434569647e-09
"root1",19,"M1",8.73463713700599e-05,0.488690001814538,6e-04,0.157281054760234,1.01095337233866e-07,0.250320573197983,1.59003812714839e-08
"root1",19,"M2",4.22826223768656e-05,0.488690001814538,6e-04,0.157281054760234,4.89382203435944e-08,0.250320573197983,7.69705491372927e-09
"root1",19,"M3",4.09520047738781e-05,0.488690001814538,6e-04,0.157281054760234,4.739815367347e-08,0.250320573197983,7.45483160345102e-09
"root1",19,"M1",9.2734915438126e-05,0.488690001814538,7e-04,0.157281054760234,1.07332078053387e-07,0.250320573197983,1.68813024458444e-08
"root1",19,"M2",4.29419023844625e-05,0.488690001814538,7e-04,0.157281054760234,4.97012759079427e-08,0.250320573197983,7.81706909773064e-09
"root1",19,"M3",4.17495596329484e-05,0.488690001814538,7e-04,0.157281054760234,4.83212495751718e-08,0.250320573197983,7.60001710051552e-09
"root1",19,"M1",9.78460528286541e-05,0.488690001814538,8e-04,0.157281054760234,1.13247746329461e-07,0.250320573197983,1.7811724991917e-08
"root1",19,"M2",4.35185008801186e-05,0.488690001814538,8e-04,0.157281054760234,5.0368635277915e-08,0.250320573197983,7.92203208334401e-09
"root1",19,"M3",4.24403970933319e-05,0.488690001814538,8e-04,0.157281054760234,4.91208299691341e-08,0.250320573197983,7.72577594824353e-09
"root1",19,"M1",0.000102735688487041,0.488690001814538,9e-04,0.157281054760234,1.18907046860001e-07,0.250320573197983,1.87018257485656e-08
