"root","x","Barrier","Kr","Kx","kAQP","perimeter","kr","radius"
"root1",6,"M2",5.27033973715822e-12,7.00540368168251e-11,1.15740740740741e-06,0.108187678425972,4.87147872459846e-08,0.172186038031298
"root1",6,"M3",5.13673005999358e-12,7.00540368168251e-11,1.15740740740741e-06,0.108187678425972,4.74798067093049e-08,0.172186038031298
"root1",9,"M1",7.70929190658899e-12,1.93830073140037e-10,1.15740740740741e-07,0.145028258448384,5.31571708098029e-08,0.230819642200692
"root1",9,"M2",5.43085770924228e-12,1.93830073140037e-10,1.15740740740741e-07,0.145028258448384,3.74468932285713e-08,0.230819642200692
"root1",9,"M3",4.93826762167173e-12,1.93830073140037e-10,1.15740740740741e-07,0.145028258448384,3.40503821427965e-08,0.230819642200692
"root1",9,"M1",9.20944701347943e-12,1.93830073140037e-10,2.31481481481481e-07,0.145028258448384,6.35010522225715e-08,0.230819642200692
"root1",9,"M2",5.89821409485528e-12,1.93830073140037e-10,2.31481481481481e-07,0.145028258448384,4.06694126921097e-08,0.230819642200692
"root1",9,"M3",5.50630398493609e-12,1.93830073140037e-10,2.31481481481481e-07,0.145028258448384,3.79671109882065e-08,0.230819642200692
"root1",9,"M1",1.03298173842911e-11,1.93830073140037e-10,3.47222222222222e-07,0.145028258448384,7.12262389054858e-08,0.230819642200692
"root1",9,"M2",6.16392916668954e-12,1.93830073140037e-10,3.47222222222222e-07,0.145028258448384,4.25015733667057e-08,0.230819642200692
"root1",9,"M3",5.83701816061583e-12,1.93830073140037e-10,3.47222222222222e-07,0.145028258448384,4.02474540000992e-08,0.230819642200692
"root1",9,"M1",1.12646872857673e-11,1.93830073140037e-10,4.62962962962963e-07,0.145028258448384,7.76723612783123e-08,0.230819642200692
"root1",9,"M2",6.34852061878655e-12,1.93830073140037e-10,4.62962962962963e-07,0.145028258448384,4.37743698139078e-08,0.230819642200692
"root1",9,"M3",6.06769956663968e-12,1.93830073140037e-10,4.62962962962963e-07,0.145028258448384,4.18380502638332e-08,0.230819642200692
"root1",9,"M1",1.20878621092255e-11,1.93830073140037e-10,5.78703703703704e-07,0.145028258448384,8.33483228616968e-08,0.230819642200692
"root1",9,"M2",6.49077251801132e-12,1.93830073140037e-10,5.78703703703704e-07,0.145028258448384,4.4755226239729e-08,0.230819642200692
"root1",9,"M3",6.2446864064864e-12,1.93830073140037e-10,5.78703703703704e-07,0.145028258448384,4.30584113282234e-08,0.230819642200692
"root1",9,"M1",1.28359174367306e-11,1.93830073140037e-10,6.94444444444444e-07,0.145028258448384,8.85063198997106e-08,0.230819642200692
"root1",9,"M2",6.60739285188029e-12,1.93830073140037e-10,6.94444444444444e-07,0.145028258448384,4.55593476924491e-08,0.230819642200692
"root1",9,"M3",6.38859296457989e-12,1.93830073140037e-10,6.94444444444444e-07,0.145028258448384,4.40506769710236e-08,0.230819642200692
"root1",9,"M1",1.35297942586876e-11,1.93830073140037e-10,8.10185185185185e-07,0.145028258448384,9.32907448757848e-08,0.230819642200692
"root1",9,"M2",6.7068992463395e-12,1.93830073140037e-10,8.10185185185185e-07,0.145028258448384,4.62454649741692e-08,0.230819642200692
"root1",9,"M3",6.51018751620056e-12,1.93830073140037e-10,8.10185185185185e-07,0.145028258448384,4.48890966895087e-08,0.230819642200692
"root1",9,"M1",1.41826362438407e-11,1.93830073140037e-10,9.25925925925926e-07,0.145028258448384,9.77922261190797e-08,0.230819642200692
"root1",9,"M2",6.79415437142058e-12,1.93830073140037e-10,9.25925925925926e-07,0.145028258448384,4.68471072059287e-08,0.230819642200692
"root1",9,"M3",6.61573467633318e-12,1.93830073140037e-10,9.25925925925926e-07,0.145028258448384,4.5616866306698e-08,0.230819642200692
"root1",9,"M1",1.48032413216863e-11,1.93830073140037e-10,1.04166666666667e-06,0.145028258448384,1.02071427182964e-07,0.230819642200692
"root1",9,"M2",6.87217321711974e-12,1.93830073140037e-10,1.04166666666667e-06,0.145028258448384,4.73850633707056e-08,0.230819642200692
