"root","x","Barrier","Kr","Kx","kAQP","perimeter","Kr2","radius","conductance"
"root1",1,"T2",6.84464964722296e-05,0.0208317829117071,0.001,0.114120707319229,7.92204820280435e-08,0.181628746789987,9.04069744321059e-09
"root1",1,"T3",3.20169379746542e-05,0.0208317829117071,0.001,0.114120707319229,3.70566411743683e-08,0.181628746789987,4.22893010169377e-09
"root1",1,"T1",7.4134456147804e-05,0.0208317829117071,0.001,0.114120707319229,8.5803768689588e-08,0.181628746789987,9.79198677351129e-09
"root1",19,"T2",3.92138495368032e-05,0.488690001814538,1e-04,0.157281054760234,4.53863999268556e-08,0.250320573197983,7.13842085226565e-09
"root1",19,"T3",2.91969646988442e-05,0.488690001814538,1e-04,0.157281054760234,3.37927832162549e-08,0.250320573197983,5.3149645875365e-09
"root1",19,"T1",4.03086589023219e-05,0.488690001814538,1e-04,0.157281054760234,4.66535403962059e-08,0.250320573197983,7.33771804181445e-09
"root1",19,"T2",4.72276357698622e-05,0.488690001814538,2e-04,0.157281054760234,5.46616154743775e-08,0.250320573197983,8.59723653670843e-09
"root1",19,"T3",3.21019517667336e-05,0.488690001814538,2e-04,0.157281054760234,3.71550367670528e-08,0.250320573197983,5.84378337237734e-09
"root1",19,"T1",4.88978616254665e-05,0.488690001814538,2e-04,0.157281054760234,5.65947472516973e-08,0.250320573197983,8.90128154163581e-09
"root1",19,"T2",5.29047162779594e-05,0.488690001814538,3e-04,0.157281054760234,6.12323105068974e-08,0.250320573197983,9.63068238193099e-09
"root1",19,"T3",3.3683731581944e-05,0.488690001814538,3e-04,0.157281054760234,3.89858004420648e-08,0.250320573197983,6.13172781419995e-09
"root1",19,"T1",5.51278045621874e-05,0.488690001814538,3e-04,0.157281054760234,6.38053293543836e-08,0.250320573197983,1.00353695001816e-08
"root1",19,"T2",5.74130372855111e-05,0.488690001814538,4e-04,0.157281054760234,6.64502746360082e-08,0.250320573197983,1.04513692838586e-08
"root1",19,"T3",3.47291838732382e-05,0.488690001814538,4e-04,0.157281054760234,4.01958146680998e-08,0.250320573197983,6.32204012794562e-09
"root1",19,"T1",6.01879533192903e-05,0.488690001814538,4e-04,0.157281054760234,6.96619830084378e-08,0.250320573197983,1.09565101642566e-08
