"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","RSA_id"
51,52,0,0.1971,0.0977,-6.7629,0.1862,0.088,-6.9624,0.0717,0.20003287229853,0.4314,0.3922,0.1961,4.1199,1,"Tomato_60_8"
52,53,0,0.1862,0.088,-6.9624,0.1841,0.0852,-7.0304,0.0717,0.0680900139521213,0.4314,0.3922,0.1961,4.1629,1,"Tomato_60_8"
53,54,0,0.1841,0.0852,-7.0304,0.1759,0.0755,-7.23,0.0717,0.200003724965312,0.4314,0.3922,0.1961,4.2896,1,"Tomato_60_8"
54,55,0,0.1759,0.0755,-7.23,0.1749,0.0702,-7.2858,0.0717,0.0560600570816687,0.4314,0.3922,0.1961,4.3252,1,"Tomato_60_8"
55,56,0,0.1749,0.0702,-7.2858,0.1684,0.0708,-7.354,0.0717,0.0685116778367017,0.4314,0.3922,0.1961,4.3687,1,"Tomato_60_8"
56,57,0,0.1684,0.0708,-7.354,0.1753,0.0747,-7.5036,0.0717,0.149809812762715,0.4314,0.3922,0.1961,4.4642,1,"Tomato_60_8"
57,58,0,0.1753,0.0747,-7.5036,0.208,0.0955,-7.6998,0.0717,0.199990924794102,0.4314,0.3922,0.1961,4.5921,1,"Tomato_60_8"
58,59,0,0.208,0.0955,-7.6998,0.2322,0.1106,-7.8231,0.0717,0.12655646960942,0.4314,0.3922,0.1961,4.6734,1,"Tomato_60_8"
59,60,0,0.2322,0.1106,-7.8231,0.2791,0.1207,-8.0173,0.0717,0.200038146362138,0.4314,0.3922,0.1961,4.8023,1,"Tomato_60_8"
60,61,0,0.2791,0.1207,-8.0173,0.2902,0.1214,-8.0697,0.0717,0.0535673407964205,0.4314,0.3922,0.1961,4.8369,1,"Tomato_60_8"
61,62,0,0.2902,0.1214,-8.0697,0.2866,0.1278,-8.204,0.0717,0.134500594794225,0.4314,0.3922,0.1961,4.924,1,"Tomato_60_8"
62,63,0,0.2866,0.1278,-8.204,0.2969,0.1569,-8.3732,0.0717,0.171992848688543,0.4314,0.3922,0.1961,5.0357,1,"Tomato_60_8"
63,64,0,0.2969,0.1569,-8.3732,0.2892,0.1582,-8.5731,0.0717,0.200052468117741,0.4314,0.3922,0.1961,5.1662,1,"Tomato_60_8"
64,65,0,0.2892,0.1582,-8.5731,0.2857,0.1601,-8.69,0.0717,0.116967816086306,0.4314,0.3922,0.1961,5.2428,1,"Tomato_60_8"
65,66,0,0.2857,0.1601,-8.69,0.2824,0.1622,-8.7748,0.0717,0.0848901643301521,0.4314,0.3922,0.1961,5.2984,1,"Tomato_60_8"
66,67,0,0.2824,0.1622,-8.7748,0.2662,0.1437,-8.9645,0.0717,0.191287166323304,0.4314,0.3922,0.1961,5.4243,1,"Tomato_60_8"
67,68,0,0.2662,0.1437,-8.9645,0.2677,0.1212,-9.1632,0.0717,0.199975473496127,0.4314,0.3922,0.1961,5.5565,1,"Tomato_60_8"
68,69,0,0.2677,0.1212,-9.1632,0.2677,0.1205,-9.1694,0.0717,0.00623939099592236,0.4314,0.3922,0.1961,5.5606,1,"Tomato_60_8"
69,70,0,0.2677,0.1205,-9.1694,0.2531,0.1165,-9.3689,0.0717,0.200073511490152,0.4314,0.3922,0.1961,5.6934,1,"Tomato_60_8"
70,71,0,0.2531,0.1165,-9.3689,0.2473,0.1158,-9.4147,0.0717,0.046171094853815,0.4314,0.3922,0.1961,5.7241,1,"Tomato_60_8"
71,72,0,0.2473,0.1158,-9.4147,0.2461,0.089,-9.6128,0.0717,0.199908203933706,0.4314,0.3922,0.1961,5.8576,1,"Tomato_60_8"
72,73,0,0.2461,0.089,-9.6128,0.251,0.0847,-9.698,0.0717,0.0854490491462606,0.4314,0.3922,0.1961,5.9148,1,"Tomato_60_8"
73,74,0,0.251,0.0847,-9.698,0.2511,0.0955,-9.8977,0.0717,0.199991849833937,0.4314,0.3922,0.1961,6.0492,1,"Tomato_60_8"
74,75,0,0.2511,0.0955,-9.8977,0.251,0.0965,-9.9165,0.0717,0.0188268425393095,0.4314,0.3922,0.1961,6.0619,1,"Tomato_60_8"
75,76,0,0.251,0.0965,-9.9165,0.2522,0.105,-10.1001,0.0717,0.183800571272235,0.4314,0.3922,0.1961,6.186,1,"Tomato_60_8"
76,77,0,0.2522,0.105,-10.1001,0.2646,0.1135,-10.2995,0.0717,0.199965922096742,0.4314,0.3922,0.1961,6.3216,1,"Tomato_60_8"
77,78,0,0.2646,0.1135,-10.2995,0.2677,0.1153,-10.3424,0.0717,0.0430495063850906,0.4314,0.3922,0.1961,6.3508,1,"Tomato_60_8"
78,79,0,0.2677,0.1153,-10.3424,0.2759,0.1023,-10.5323,0.0717,0.190520996218264,0.4314,0.3922,0.1961,6.4807,1,"Tomato_60_8"
79,80,0,0.2759,0.1023,-10.5323,0.2721,0.0964,-10.7322,0.0717,0.20002314866035,0.4314,0.3922,0.1961,6.6177,1,"Tomato_60_8"
80,81,0,0.2721,0.0964,-10.7322,0.2708,0.0956,-10.8086,0.0717,0.0764152471696581,0.4314,0.3922,0.1961,6.6702,1,"Tomato_60_8"
81,82,0,0.2708,0.0956,-10.8086,0.2711,0.0983,-10.9332,0.0717,0.124629611248691,0.4314,0.3922,0.1961,6.756,1,"Tomato_60_8"
82,83,0,0.2711,0.0983,-10.9332,0.2729,0.0998,-11.1182,0.0717,0.185014837242855,0.4314,0.3922,0.1961,6.8839,1,"Tomato_60_8"
83,84,0,0.2729,0.0998,-11.1182,0.291,0.1109,-11.3136,0.0717,0.196550197150753,0.4314,0.3922,0.1961,7.0203,1,"Tomato_60_8"
84,85,0,0.291,0.1109,-11.3136,0.3035,0.1125,-11.4707,0.0717,0.15760463191163,0.4314,0.3922,0.1961,7.1302,1,"Tomato_60_8"
