"CS_id","param_id","value"
"B05_B_To_C01_Z20_01","xylem_cell_diameter",0.0182768574827478
"B05_B_To_C01_Z20_01","xylem_order",1.5
"B05_B_To_C01_Z20_01","stele_cell_diameter",0.00906928159770313
"B05_B_To_C01_Z20_01","stele_SD",0.00138009981093563
"B05_B_To_C01_Z20_01","phloem_cell_diameter",0.0105286666666667
"B05_B_To_C01_Z20_01","phloem_order",1.5
"B05_B_To_C01_Z20_01","stele_order",1
"B05_B_To_C01_Z20_01","cortex_cell_diameter",0.0250015238095238
"B05_B_To_C01_Z20_01","cortex_order",4
"B05_B_To_C01_Z20_01","endodermis_cell_diameter",0.0166885714285714
"B05_B_To_C01_Z20_01","endodermis_n_layers",1
"B05_B_To_C01_Z20_01","endodermis_order",3
"B05_B_To_C01_Z20_01","exodermis_cell_diameter",0.0311984
"B05_B_To_C01_Z20_01","exodermis_n_layers",1
"B05_B_To_C01_Z20_01","exodermis_order",5
"B05_B_To_C01_Z20_01","epidermis_cell_diameter",0.0163771666666667
"B05_B_To_C01_Z20_01","epidermis_n_layers",1
"B05_B_To_C01_Z20_01","epidermis_order",6
"B05_B_To_C01_Z20_01","pericycle_cell_diameter",0.0149964285714286
"B05_B_To_C01_Z20_01","pericycle_order",2
"B05_B_To_C01_Z20_01","pericycle_n_layers",1
"B05_B_To_C01_Z20_01","stele_n_layers",5
"B05_B_To_C01_Z20_01","stele_layer_diameter",0.1452
"B05_B_To_C01_Z20_01","cortex_n_layers",3
"B05_B_To_C01_Z20_01","phloem_n_layers",0
"B05_B_To_C01_Z20_01","phloem_proportion",0
"B05_C_To_C01_Z20_01","secondarygrowth_param",0
"B05_C_To_C01_Z20_01","randomness_param",2
"B05_C_To_C01_Z20_01","planttype_param",2
"B05_C_To_C01_Z20_01","aerenchyma_proportion",0
"B05_C_To_C01_Z20_01","aerenchyma_n_files",10
"B05_C_To_C01_Z20_01","xylem_n_files",2
"B05_C_To_C01_Z20_01","xylem_n_cells",6
"B05_C_To_C01_Z20_01","xylem_max_size",0.0220882347567201
"B05_C_To_C01_Z20_01","xylem_cell_diameter",0.0170862093143341
"B05_C_To_C01_Z20_01","xylem_order",1.5
"B05_C_To_C01_Z20_01","stele_cell_diameter",0.00808694699817415
"B05_C_To_C01_Z20_01","stele_SD",0.00152706616173413
"B05_C_To_C01_Z20_01","phloem_cell_diameter",0.00487510992266751
"B05_C_To_C01_Z20_01","phloem_order",1.5
"B05_C_To_C01_Z20_01","stele_order",1
"B05_C_To_C01_Z20_01","cortex_cell_diameter",0.0195481
"B05_C_To_C01_Z20_01","cortex_order",4
"B05_C_To_C01_Z20_01","endodermis_cell_diameter",0.012809
"B05_C_To_C01_Z20_01","endodermis_n_layers",1
"B05_C_To_C01_Z20_01","endodermis_order",3
"B05_C_To_C01_Z20_01","exodermis_cell_diameter",0.023663
"B05_C_To_C01_Z20_01","exodermis_n_layers",1
"B05_C_To_C01_Z20_01","exodermis_order",5
"B05_C_To_C01_Z20_01","epidermis_cell_diameter",0.0139765
"B05_C_To_C01_Z20_01","epidermis_n_layers",1
"B05_C_To_C01_Z20_01","epidermis_order",6
"B05_C_To_C01_Z20_01","pericycle_cell_diameter",0.0125043571428571
"B05_C_To_C01_Z20_01","pericycle_order",2
"B05_C_To_C01_Z20_01","pericycle_n_layers",1
"B05_C_To_C01_Z20_01","stele_n_layers",3
"B05_C_To_C01_Z20_01","stele_layer_diameter",0.13526
"B05_C_To_C01_Z20_01","cortex_n_layers",3
"B05_C_To_C01_Z20_01","phloem_n_layers",0
"B05_C_To_C01_Z20_01","phloem_proportion",0
"B05_D_To_C03_Z20_01","secondarygrowth_param",1
"B05_D_To_C03_Z20_01","randomness_param",2
"B05_D_To_C03_Z20_01","planttype_param",2
"B05_D_To_C03_Z20_01","aerenchyma_proportion",0
"B05_D_To_C03_Z20_01","aerenchyma_n_files",10
"B05_D_To_C03_Z20_01","xylem_n_files",2
"B05_D_To_C03_Z20_01","xylem_n_cells",7
"B05_D_To_C03_Z20_01","xylem_max_size",0.0531347267975415
"B05_D_To_C03_Z20_01","xylem_cell_diameter",0.0260943803449274
"B05_D_To_C03_Z20_01","xylem_order",1.5
"B05_D_To_C03_Z20_01","stele_cell_diameter",0.00747008783335208
"B05_D_To_C03_Z20_01","stele_SD",0.0004351002105055
"B05_D_To_C03_Z20_01","phloem_cell_diameter",0.00747019799177171
"B05_D_To_C03_Z20_01","phloem_order",1.5
"B05_D_To_C03_Z20_01","stele_order",1
"B05_D_To_C03_Z20_01","cortex_cell_diameter",0.0211655
"B05_D_To_C03_Z20_01","cortex_order",4
"B05_D_To_C03_Z20_01","endodermis_cell_diameter",0.0129880833333333
"B05_D_To_C03_Z20_01","endodermis_n_layers",1
"B05_D_To_C03_Z20_01","endodermis_order",3
"B05_D_To_C03_Z20_01","exodermis_cell_diameter",0.0263024615384615
"B05_D_To_C03_Z20_01","exodermis_n_layers",1
"B05_D_To_C03_Z20_01","exodermis_order",5
"B05_D_To_C03_Z20_01","epidermis_cell_diameter",0.01421975
"B05_D_To_C03_Z20_01","epidermis_n_layers",1
"B05_D_To_C03_Z20_01","epidermis_order",6
"B05_D_To_C03_Z20_01","pericycle_cell_diameter",0.0117045
"B05_D_To_C03_Z20_01","pericycle_order",2
"B05_D_To_C03_Z20_01","pericycle_n_layers",1
"B05_D_To_C03_Z20_01","stele_n_layers",6
"B05_D_To_C03_Z20_01","stele_layer_diameter",0.142
"B05_D_To_C03_Z20_01","cortex_n_layers",3
"B05_D_To_C03_Z20_01","phloem_n_layers",1
"B05_D_To_C03_Z20_01","phloem_proportion",0.115492957746479
"B05_E2_To_C01_Z20_01","secondarygrowth_param",1
"B05_E2_To_C01_Z20_01","randomness_param",2
"B05_E2_To_C01_Z20_01","planttype_param",2
"B05_E2_To_C01_Z20_01","aerenchyma_proportion",0
"B05_E2_To_C01_Z20_01","aerenchyma_n_files",10
"B05_E2_To_C01_Z20_01","xylem_n_files",2
"B05_E2_To_C01_Z20_01","xylem_n_cells",7
"B05_E2_To_C01_Z20_01","xylem_max_size",0.0567532321122866
"B05_E2_To_C01_Z20_01","xylem_cell_diameter",0.0282391689410839
"B05_E2_To_C01_Z20_01","xylem_order",1.5
"B05_E2_To_C01_Z20_01","stele_cell_diameter",0.00962405763323411
"B05_E2_To_C01_Z20_01","stele_SD",0.00138521974185253
"B05_E2_To_C01_Z20_01","phloem_cell_diameter",0.00962419955539126
"B05_E2_To_C01_Z20_01","phloem_order",1.5
"B05_E2_To_C01_Z20_01","stele_order",1
"B05_E2_To_C01_Z20_01","cortex_cell_diameter",0.0194306666666667
