"root","x","Barrier","Kr","Kx","kAQP","perimeter","kr","radius","Barrier_Name"
"root14",12,"b6",9.93362302705848e-12,1.34689604863043e-10,6.944e-07,0.149376562313152,6.6500546492921e-08,0.237740182742127,"T2"
"root14",12,"b8",5.80516142120055e-12,1.34689604863043e-10,6.944e-07,0.149376562313152,3.88625988662843e-08,0.237740182742127,"T3"
"root14",12,"b9",1.04861298739159e-11,1.34689604863043e-10,6.944e-07,0.149376562313152,7.01992984142508e-08,0.237740182742127,"T1"
"root14",12,"b1",1.37870952953847e-11,1.34689604863043e-10,8.102e-07,0.149376562313152,9.22975805701131e-08,0.237740182742127,"M1"
"root14",12,"b3",6.85989056291265e-12,1.34689604863043e-10,8.102e-07,0.149376562313152,4.59234732456329e-08,0.237740182742127,"M2"
"root14",12,"b4",6.661565918621e-12,1.34689604863043e-10,8.102e-07,0.149376562313152,4.45957907684054e-08,0.237740182742127,"M3"
"root14",12,"b6",1.03502030110293e-11,1.34689604863043e-10,8.102e-07,0.149376562313152,6.92893373013311e-08,0.237740182742127,"T2"
"root14",12,"b8",5.88746245196174e-12,1.34689604863043e-10,8.102e-07,0.149376562313152,3.94135623473467e-08,0.237740182742127,"T3"
"root14",12,"b9",1.09756975782789e-11,1.34689604863043e-10,8.102e-07,0.149376562313152,7.34767048345209e-08,0.237740182742127,"T1"
"root14",12,"b1",1.4453023260903e-11,1.34689604863043e-10,9.259e-07,0.149376562313152,9.67556291100325e-08,0.237740182742127,"M1"
"root14",12,"b3",6.95287515176257e-12,1.34689604863043e-10,9.259e-07,0.149376562313152,4.6545957706448e-08,0.237740182742127,"M2"
"root14",12,"b4",6.77268702845211e-12,1.34689604863043e-10,9.259e-07,0.149376562313152,4.53396899993849e-08,0.237740182742127,"M3"
"root14",12,"b6",1.07252298709773e-11,1.34689604863043e-10,9.259e-07,0.149376562313152,7.17999511094184e-08,0.237740182742127,"T2"
"root14",12,"b8",5.95710521454343e-12,1.34689604863043e-10,9.259e-07,0.149376562313152,3.98797851704138e-08,0.237740182742127,"T3"
"root14",12,"b9",1.14229561746791e-11,1.34689604863043e-10,9.259e-07,0.149376562313152,7.64708733270489e-08,0.237740182742127,"T1"
"root14",12,"b1",1.50846788074597e-11,1.34689604863043e-10,1.0417e-06,0.149376562313152,1.009842412616e-07,0.237740182742127,"M1"
"root14",12,"b3",7.03591868952422e-12,1.34689604863043e-10,1.0417e-06,0.149376562313152,4.71018918936839e-08,0.237740182742127,"M2"
"root14",12,"b4",6.87105774014902e-12,1.34689604863043e-10,1.0417e-06,0.149376562313152,4.59982318092485e-08,0.237740182742127,"M3"
"root14",12,"b6",1.10673543745485e-11,1.34689604863043e-10,1.0417e-06,0.149376562313152,7.40903004003198e-08,0.237740182742127,"T2"
"root14",12,"b8",6.01741903739435e-12,1.34689604863043e-10,1.0417e-06,0.149376562313152,4.02835554936622e-08,0.237740182742127,"T3"
"root14",12,"b9",1.18365409054259e-11,1.34689604863043e-10,1.0417e-06,0.149376562313152,7.92396124407511e-08,0.237740182742127,"T1"
"root14",12,"b1",1.56883541634907e-11,1.34689604863043e-10,1.1574e-06,0.149376562313152,1.05025540289257e-07,0.237740182742127,"M1"
"root14",12,"b3",7.11113096267191e-12,1.34689604863043e-10,1.1574e-06,0.149376562313152,4.760539975317e-08,0.237740182742127,"M2"
"root14",12,"b4",6.95940991400969e-12,1.34689604863043e-10,1.1574e-06,0.149376562313152,4.65897046112229e-08,0.237740182742127,"M3"
"root14",12,"b6",1.13826811700495e-11,1.34689604863043e-10,1.1574e-06,0.149376562313152,7.62012526850559e-08,0.237740182742127,"T2"
"root14",12,"b8",6.07059038288284e-12,1.34689604863043e-10,1.1574e-06,0.149376562313152,4.06395105689773e-08,0.237740182742127,"T3"
"root14",12,"b9",1.2222538279785e-11,1.34689604863043e-10,1.1574e-06,0.149376562313152,8.18236682550085e-08,0.237740182742127,"T1"
"root14",13,"b1",7.78563345880873e-12,1.72009076083743e-10,1.157e-07,0.134497071596496,5.78870109690297e-08,0.214058737759669,"M1"
"root14",13,"b3",5.39930254187157e-12,1.72009076083743e-10,1.157e-07,0.134497071596496,4.01443873668119e-08,0.214058737759669,"M2"
"root14",13,"b4",4.86038956907037e-12,1.72009076083743e-10,1.157e-07,0.134497071596496,3.61375122251881e-08,0.214058737759669,"M3"
"root14",13,"b6",5.98787200121484e-12,1.72009076083743e-10,1.157e-07,0.134497071596496,4.45204637553673e-08,0.214058737759669,"T2"
"root14",13,"b8",4.47611756189911e-12,1.72009076083743e-10,1.157e-07,0.134497071596496,3.32804090733506e-08,0.214058737759669,"T3"
"root14",13,"b9",6.17818806170508e-12,1.72009076083743e-10,1.157e-07,0.134497071596496,4.59354838612415e-08,0.214058737759669,"T1"
"root14",13,"b1",9.39012369455446e-12,1.72009076083743e-10,2.315e-07,0.134497071596496,6.98165661385233e-08,0.214058737759669,"M1"
"root14",13,"b3",5.86452614995631e-12,1.72009076083743e-10,2.315e-07,0.134497071596496,4.36033742619352e-08,0.214058737759669,"M2"
"root14",13,"b4",5.43619607743808e-12,1.72009076083743e-10,2.315e-07,0.134497071596496,4.041869471885e-08,0.214058737759669,"M3"
"root14",13,"b6",7.21993557366928e-12,1.72009076083743e-10,2.315e-07,0.134497071596496,5.36809871617858e-08,0.214058737759669,"T2"
"root14",13,"b8",4.94019582021825e-12,1.72009076083743e-10,2.315e-07,0.134497071596496,3.67308801714234e-08,0.214058737759669,"T3"
"root14",13,"b9",7.51176327007758e-12,1.72009076083743e-10,2.315e-07,0.134497071596496,5.58507570530129e-08,0.214058737759669,"T1"
"root14",13,"b1",1.05959660487414e-11,1.72009076083743e-10,3.472e-07,0.134497071596496,7.8782132004556e-08,0.214058737759669,"M1"
"root14",13,"b3",6.12384381721375e-12,1.72009076083743e-10,3.472e-07,0.134497071596496,4.55314286364975e-08,0.214058737759669,"M2"
"root14",13,"b4",5.76783391683278e-12,1.72009076083743e-10,3.472e-07,0.134497071596496,4.28844572477892e-08,0.214058737759669,"M3"
"root14",13,"b6",8.07020575279868e-12,1.72009076083743e-10,3.472e-07,0.134497071596496,6.00028361733411e-08,0.214058737759669,"T2"
"root14",13,"b8",5.18710406575674e-12,1.72009076083743e-10,3.472e-07,0.134497071596496,3.85666691786313e-08,0.214058737759669,"T3"
"root14",13,"b9",8.45441295611347e-12,1.72009076083743e-10,3.472e-07,0.134497071596496,6.28594575016288e-08,0.214058737759669,"T1"
"root14",13,"b1",1.16020007778438e-11,1.72009076083743e-10,4.63e-07,0.134497071596496,8.62621069747219e-08,0.214058737759669,"M1"
"root14",13,"b3",6.30107501718497e-12,1.72009076083743e-10,4.63e-07,0.134497071596496,4.68491614158618e-08,0.214058737759669,"M2"
"root14",13,"b4",5.99642731579245e-12,1.72009076083743e-10,4.63e-07,0.134497071596496,4.45840734271323e-08,0.214058737759669,"M3"
"root14",13,"b6",8.72969007424044e-12,1.72009076083743e-10,4.63e-07,0.134497071596496,6.49061720870053e-08,0.214058737759669,"T2"
"root14",13,"b8",5.3466319367307e-12,1.72009076083743e-10,4.63e-07,0.134497071596496,3.97527758282433e-08,0.214058737759669,"T3"
"root14",13,"b9",9.20210241943862e-12,1.72009076083743e-10,4.63e-07,0.134497071596496,6.84186080054279e-08,0.214058737759669,"T1"
"root14",13,"b1",1.24855311585071e-11,1.72009076083743e-10,5.787e-07,0.134497071596496,9.28312491142175e-08,0.214058737759669,"M1"
"root14",13,"b3",6.43591709218246e-12,1.72009076083743e-10,5.787e-07,0.134497071596496,4.78517265527596e-08,0.214058737759669,"M2"
"root14",13,"b4",6.16991549087895e-12,1.72009076083743e-10,5.787e-07,0.134497071596496,4.58739764192731e-08,0.214058737759669,"M3"
"root14",13,"b6",9.27316217762872e-12,1.72009076083743e-10,5.787e-07,0.134497071596496,6.89469448483539e-08,0.214058737759669,"T2"
"root14",13,"b8",5.46147344288856e-12,1.72009076083743e-10,5.787e-07,0.134497071596496,4.06066346133803e-08,0.214058737759669,"T3"
"root14",13,"b9",9.83101203331694e-12,1.72009076083743e-10,5.787e-07,0.134497071596496,7.30946177238038e-08,0.214058737759669,"T1"
"root14",13,"b1",1.32857312798278e-11,1.72009076083743e-10,6.944e-07,0.134497071596496,9.87808219325865e-08,0.214058737759669,"M1"
"root14",13,"b3",6.54539047408566e-12,1.72009076083743e-10,6.944e-07,0.134497071596496,4.86656727644038e-08,0.214058737759669,"M2"
"root14",13,"b4",6.30966387499046e-12,1.72009076083743e-10,6.944e-07,0.134497071596496,4.69130204850857e-08,0.214058737759669,"M3"
"root14",13,"b6",9.73821701332935e-12,1.72009076083743e-10,6.944e-07,0.134497071596496,7.24046769028914e-08,0.214058737759669,"T2"
"root14",13,"b8",5.55006184709366e-12,1.72009076083743e-10,6.944e-07,0.134497071596496,4.12652987995484e-08,0.214058737759669,"T3"
"root14",13,"b9",1.03793220067146e-11,1.72009076083743e-10,6.944e-07,0.134497071596496,7.71713605620618e-08,0.214058737759669,"T1"
"root14",13,"b1",1.40254605993681e-11,1.72009076083743e-10,8.102e-07,0.134497071596496,1.04280787922623e-07,0.214058737759669,"M1"
"root14",13,"b3",6.63812146531609e-12,1.72009076083743e-10,8.102e-07,0.134497071596496,4.9355137524712e-08,0.214058737759669,"M2"
"root14",13,"b4",6.42682435312343e-12,1.72009076083743e-10,8.102e-07,0.134497071596496,4.77841210729443e-08,0.214058737759669,"M3"
"root14",13,"b6",1.01465726426958e-11,1.72009076083743e-10,8.102e-07,0.134497071596496,7.54408443414773e-08,0.214058737759669,"T2"
"root14",13,"b8",5.62173034686336e-12,1.72009076083743e-10,8.102e-07,0.134497071596496,4.17981617007178e-08,0.214058737759669,"T3"
"root14",13,"b9",1.08690684535631e-11,1.72009076083743e-10,8.102e-07,0.134497071596496,8.08126773657302e-08,0.214058737759669,"T1"
"root14",13,"b1",1.47192878019272e-11,1.72009076083743e-10,9.259e-07,0.134497071596496,1.09439466801824e-07,0.214058737759669,"M1"
"root14",13,"b3",6.71900082266529e-12,1.72009076083743e-10,9.259e-07,0.134497071596496,4.9956484129431e-08,0.214058737759669,"M2"
"root14",13,"b4",6.52786781025541e-12,1.72009076083743e-10,9.259e-07,0.134497071596496,4.85353898993402e-08,0.214058737759669,"M3"
