"root","x","Barrier","Kr","Kx","perimeter","Kr2","radius","conductance"
"root10",28,"M2",5.12604619051774e-05,4.61087131198025,0.210190494071603,5.93292383161775e-08,0.334528561224233,1.24704419145692e-08
"root10",28,"M3",4.88223774670295e-05,4.61087131198025,0.210190494071603,5.65073813275804e-08,0.334528561224233,1.18773143999366e-08
"root10",3,"M1",5.68333359618239e-05,0.00966840293617765,0.120236899720673,6.57793240298888e-08,0.191362969325896,7.90910198707539e-09
"root10",3,"M2",2.75172209830375e-05,0.00966840293617765,0.120236899720673,3.18486353970341e-08,0.191362969325896,3.82938118047347e-09
"root10",3,"M3",2.65846808085236e-05,0.00966840293617765,0.120236899720673,3.07693064913468e-08,0.191362969325896,3.69960601907471e-09
"root10",6,"M1",5.63106822194375e-05,0.0465297702990238,0.140436412889679,6.51744007169415e-08,0.223511493014868,9.15285904892179e-09
"root10",6,"M2",2.8562473553667e-05,0.0465297702990238,0.140436412889679,3.30584184648924e-08,0.223511493014868,4.64260570501541e-09
"root10",6,"M3",2.76828383004048e-05,0.0465297702990238,0.140436412889679,3.204032210695e-08,0.223511493014868,4.49962790452994e-09
"root10",9,"M1",6.55695587641547e-05,0.0696437787392065,0.156378435602559,7.58906930140679e-08,0.248884010191249,1.1867667850334e-08
"root10",9,"M2",3.71434098974994e-05,0.0696437787392065,0.156378435602559,4.29900577517354e-08,0.248884010191249,6.72271797768005e-09
"root10",9,"M3",3.56734397716024e-05,0.0696437787392065,0.156378435602559,4.12887034393546e-08,0.248884010191249,6.45666285190427e-09
"root11",11,"M1",8.730846141315e-05,0.0629836165409672,0.12474738703048,1.01051459968924e-07,0.198541632836987,1.26059055867384e-08
"root11",11,"M2",4.65371501790931e-05,0.0629836165409672,0.12474738703048,5.38624423369133e-08,0.198541632836987,6.71919894060984e-09
"root11",11,"M3",4.35670194447206e-05,0.0629836165409672,0.12474738703048,5.04247910239822e-08,0.198541632836987,6.29036092179978e-09
"root11",12,"M1",8.3679972079712e-05,0.0698630766373316,0.124525661244408,9.68518195367037e-08,0.198188745288344,1.20605368705321e-08
