"Root","X","Barrier","Kr","Kx","perimeter"
"root1",27,"b5",6.20958999357921e-05,1.88286246633308,0.216448461004425
"root1",27,"b6",5.23959777578427e-05,1.88286246633308,0.216448461004425
"root1",27,"b7",7.14035676049773e-05,1.88286246633308,0.216448461004425
"root1",27,"b8",3.73357284799732e-05,1.88286246633308,0.216448461004425
"root1",27,"b9",5.45580353838711e-05,5.45580353838711e-05,0.216448461004425
"root1",28,"b0",0.000150822652947004,6.45601111796429,0.286714473490561
"root1",28,"b1",6.09550504729798e-05,6.45601111796429,0.286714473490561
"root1",28,"b2",4.21121775309174e-05,6.45601111796429,0.286714473490561
"root1",28,"b3",4.21121775309174e-05,6.45601111796429,0.286714473490561
"root1",28,"b4",4.03987941591047e-05,6.45601111796429,0.286714473490561
"root1",28,"b5",5.74211652410075e-05,6.45601111796429,0.286714473490561
"root1",28,"b6",4.90123414746333e-05,6.45601111796429,0.286714473490561
"root1",28,"b7",6.63665623342522e-05,6.45601111796429,0.286714473490561
"root1",28,"b8",3.60559712346458e-05,6.45601111796429,0.286714473490561
"root1",28,"b9",5.10020582883888e-05,5.10020582883888e-05,0.286714473490561
"root1",29,"b0",0.00023979094642919,9.74181075631164,0.235447978942539
"root1",29,"b1",8.19687045274693e-05,9.74181075631164,0.235447978942539
"root1",29,"b2",5.43849936885085e-05,9.74181075631164,0.235447978942539
"root1",29,"b3",5.43849936885085e-05,9.74181075631164,0.235447978942539
"root1",29,"b4",5.17941259147137e-05,9.74181075631164,0.235447978942539
"root1",29,"b5",7.56552018495467e-05,9.74181075631164,0.235447978942539
"root1",29,"b6",6.16153837667468e-05,9.74181075631164,0.235447978942539
"root1",29,"b7",8.90159525560382e-05,9.74181075631164,0.235447978942539
"root1",29,"b8",4.51593204572786e-05,9.74181075631164,0.235447978942539
"root1",29,"b9",6.47252588824647e-05,6.47252588824647e-05,0.235447978942539
"root1",30,"b0",0.000182135269006122,12.6709173664667,0.344281293196947
"root1",30,"b1",5.3891980769454e-05,12.6709173664667,0.344281293196947
"root1",30,"b2",4.03434588057403e-05,12.6709173664667,0.344281293196947
"root1",30,"b3",4.03434588057403e-05,12.6709173664667,0.344281293196947
"root1",30,"b4",3.87421788343151e-05,12.6709173664667,0.344281293196947
"root1",30,"b5",5.10802392142595e-05,12.6709173664667,0.344281293196947
"root1",30,"b6",4.47537798981066e-05,12.6709173664667,0.344281293196947
"root1",30,"b7",5.71956841450198e-05,12.6709173664667,0.344281293196947
"root1",30,"b8",3.49765145042116e-05,12.6709173664667,0.344281293196947
"root1",30,"b9",4.62149029812084e-05,4.62149029812084e-05,0.344281293196947
"root1",4,"b0",4.09793122108333e-05,0.0219751415466842,0.130536428757925
"root1",4,"b1",5.81764431251918e-05,0.0219751415466842,0.130536428757925
"root1",4,"b2",2.87758166875142e-05,0.0219751415466842,0.130536428757925
"root1",4,"b3",2.87758166875142e-05,0.0219751415466842,0.130536428757925
"root1",4,"b4",2.78155393436789e-05,0.0219751415466842,0.130536428757925
