"name","type","value","CS_id","age"
"endodermis","cell_diameter",0.012809,"B05_C_To_C01_Z20_01",3.15
"epidermis","order",6,"B05_C_To_C01_Z20_01",3.15
"cortex","n_layers",3,"B05_C_To_C01_Z20_01",3.15
"stele","SD",0.00152706616173413,"B05_C_To_C01_Z20_01",3.15
"secondarygrowth","param",0,"B05_C_To_C01_Z20_01",3.15
"cortex","cell_diameter",0.0195481,"B05_C_To_C01_Z20_01",3.15
"phloem","order",1.5,"B05_C_To_C01_Z20_01",3.15
"exodermis","order",5,"B05_C_To_C01_Z20_01",3.15
"exodermis","cell_diameter",0.023663,"B05_C_To_C01_Z20_01",3.15
"phloem","cell_diameter",0.00487510992266751,"B05_C_To_C01_Z20_01",3.15
"xylem","cell_diameter",0.0170862093143341,"B05_C_To_C01_Z20_01",3.15
"aerenchyma","proportion",0,"B05_C_To_C01_Z20_01",3.15
"xylem","n_cells",6,"B05_C_To_C01_Z20_01",3.15
"pericycle","order",2,"B05_C_To_C01_Z20_01",3.15
"epidermis","n_layers",1,"B05_C_To_C01_Z20_01",3.15
"stele","order",1,"B05_C_To_C01_Z20_01",3.15
"randomness","param",2,"B05_C_To_C01_Z20_01",3.15
"phloem","n_layers",0,"B05_C_To_C01_Z20_01",3.15
"cortex","order",4,"B05_C_To_C01_Z20_01",3.15
"xylem","n_files",2,"B05_C_To_C01_Z20_01",3.15
"planttype","param",2,"B05_C_To_C01_Z20_01",3.15
"pericycle","cell_diameter",0.0125043571428571,"B05_C_To_C01_Z20_01",3.15
"endodermis","n_layers",1,"B05_C_To_C01_Z20_01",3.15
"exodermis","n_layers",1,"B05_C_To_C01_Z20_01",3.15
"stele","layer_diameter",0.142,"B05_D_To_C03_Z20_01",8.19
"phloem","proportion",0.115492957746479,"B05_D_To_C03_Z20_01",8.19
"phloem","order",1.5,"B05_D_To_C03_Z20_01",8.19
"secondarygrowth","param",1,"B05_D_To_C03_Z20_01",8.19
"cortex","cell_diameter",0.0211655,"B05_D_To_C03_Z20_01",8.19
"planttype","param",2,"B05_D_To_C03_Z20_01",8.19
"stele","order",1,"B05_D_To_C03_Z20_01",8.19
"xylem","n_files",2,"B05_D_To_C03_Z20_01",8.19
"stele","SD",0.0004351002105055,"B05_D_To_C03_Z20_01",8.19
"phloem","n_layers",1,"B05_D_To_C03_Z20_01",8.19
"randomness","param",2,"B05_D_To_C03_Z20_01",8.19
"stele","n_layers",6,"B05_D_To_C03_Z20_01",8.19
"xylem","order",1.5,"B05_D_To_C03_Z20_01",8.19
"stele","cell_diameter",0.00747008783335208,"B05_D_To_C03_Z20_01",8.19
"xylem","cell_diameter",0.0260943803449274,"B05_D_To_C03_Z20_01",8.19
"xylem","n_cells",7,"B05_D_To_C03_Z20_01",8.19
"cortex","order",4,"B05_D_To_C03_Z20_01",8.19
"pericycle","cell_diameter",0.0117045,"B05_D_To_C03_Z20_01",8.19
"xylem","max_size",0.0531347267975415,"B05_D_To_C03_Z20_01",8.19
"pericycle","order",2,"B05_D_To_C03_Z20_01",8.19
"aerenchyma","n_files",10,"B05_D_To_C03_Z20_01",8.19
"endodermis","order",3,"B05_D_To_C03_Z20_01",8.19
"exodermis","cell_diameter",0.0263024615384615,"B05_D_To_C03_Z20_01",8.19
"exodermis","order",5,"B05_D_To_C03_Z20_01",8.19
"epidermis","order",6,"B05_D_To_C03_Z20_01",8.19
"exodermis","n_layers",1,"B05_D_To_C03_Z20_01",8.19
"phloem","cell_diameter",0.00747019799177171,"B05_D_To_C03_Z20_01",8.19
"pericycle","n_layers",1,"B05_D_To_C03_Z20_01",8.19
"cortex","n_layers",3,"B05_D_To_C03_Z20_01",8.19
"epidermis","n_layers",1,"B05_D_To_C03_Z20_01",8.19
"epidermis","cell_diameter",0.01421975,"B05_D_To_C03_Z20_01",8.19
"aerenchyma","proportion",0,"B05_D_To_C03_Z20_01",8.19
"endodermis","cell_diameter",0.0129880833333333,"B05_D_To_C03_Z20_01",8.19
"endodermis","n_layers",1,"B05_D_To_C03_Z20_01",8.19
"stele","order",1,"B05_E2_To_C01_Z20_01",16.38
"aerenchyma","proportion",0,"B05_E2_To_C01_Z20_01",16.38
"pericycle","order",2,"B05_E2_To_C01_Z20_01",16.38
"cortex","order",4,"B05_E2_To_C01_Z20_01",16.38
"planttype","param",2,"B05_E2_To_C01_Z20_01",16.38
"xylem","n_files",2,"B05_E2_To_C01_Z20_01",16.38
"stele","SD",0.00138521974185253,"B05_E2_To_C01_Z20_01",16.38
"exodermis","n_layers",1,"B05_E2_To_C01_Z20_01",16.38
"phloem","n_layers",1,"B05_E2_To_C01_Z20_01",16.38
"stele","cell_diameter",0.00962405763323411,"B05_E2_To_C01_Z20_01",16.38
"cortex","cell_diameter",0.0194306666666667,"B05_E2_To_C01_Z20_01",16.38
"exodermis","cell_diameter",0.0270191176470588,"B05_E2_To_C01_Z20_01",16.38
"xylem","order",1.5,"B05_E2_To_C01_Z20_01",16.38
