CS_id,param_id,value
B05_D_To_C03_Z20_01,stele_n_layers,6
B05_D_To_C03_Z20_01,stele_order,1
B05_D_To_C03_Z20_01,stele_SD,5.06745868037153
B05_D_To_C03_Z20_01,stele_totarea,15329.963
B05_D_To_C03_Z20_01,xylem_max_size,2217.414
B05_D_To_C03_Z20_01,xylem_mean_size,534.790714285714
B05_D_To_C03_Z20_01,xylem_n_files,7
B05_D_To_C03_Z20_01,xylem_order,1.5
B05_E2_To_C01_Z20_01,aerenchyma_n_files,10
B05_E2_To_C01_Z20_01,aerenchyma_proportion,0
B05_E2_To_C01_Z20_01,cortex_cell_diameter,0.0194306666666667
B05_E2_To_C01_Z20_01,cortex_n_layers,3
B05_E2_To_C01_Z20_01,cortex_order,4
B05_E2_To_C01_Z20_01,endodermis_barrier,1
B05_E2_To_C01_Z20_01,endodermis_cell_diameter,0.0134849
B05_E2_To_C01_Z20_01,endodermis_n_layers,1
B05_E2_To_C01_Z20_01,endodermis_order,3
B05_E2_To_C01_Z20_01,epidermis_cell_diameter,0.0139747272727273
B05_E2_To_C01_Z20_01,epidermis_n_layers,1
B05_E2_To_C01_Z20_01,epidermis_order,6
B05_E2_To_C01_Z20_01,exodermis_barrier,1
B05_E2_To_C01_Z20_01,exodermis_cell_diameter,0.0270191176470588
B05_E2_To_C01_Z20_01,exodermis_n_layers,1
B05_E2_To_C01_Z20_01,exodermis_order,5
B05_E2_To_C01_Z20_01,pericycle_cell_diameter,0.011681
B05_E2_To_C01_Z20_01,pericycle_n_layers,1
B05_E2_To_C01_Z20_01,pericycle_order,2
B05_E2_To_C01_Z20_01,phloem_max_size,0.0121140529357175
B05_E2_To_C01_Z20_01,phloem_n_files,1
B05_E2_To_C01_Z20_01,phloem_proportion,0.153925089789636
B05_E2_To_C01_Z20_01,planttype_param,2
B05_E2_To_C01_Z20_01,randomness_param,2
B05_E2_To_C01_Z20_01,secondarygrowth_param,1
B05_E2_To_C01_Z20_01,stele_cell_diameter,0.00962405763323411
B05_E2_To_C01_Z20_01,stele_layer_diameter,0.15592
B05_E2_To_C01_Z20_01,stele_mean_size,74.0372857142857
B05_E2_To_C01_Z20_01,stele_n_layers,6
B05_E2_To_C01_Z20_01,stele_order,1
B05_E2_To_C01_Z20_01,stele_SD,21.9499210303385
B05_E2_To_C01_Z20_01,stele_totarea,18774.615
B05_E2_To_C01_Z20_01,xylem_max_size,2529.712
B05_E2_To_C01_Z20_01,xylem_mean_size,626.316285714286
B05_E2_To_C01_Z20_01,xylem_n_files,7
B05_E2_To_C01_Z20_01,xylem_order,1.5
B11_C_To_C01_Z20_01,aerenchyma_n_files,10
B11_C_To_C01_Z20_01,aerenchyma_proportion,0
B11_C_To_C01_Z20_01,cortex_cell_diameter,0.019715
B11_C_To_C01_Z20_01,cortex_n_layers,3
B11_C_To_C01_Z20_01,cortex_order,4
B11_C_To_C01_Z20_01,endodermis_barrier,1
B11_C_To_C01_Z20_01,endodermis_cell_diameter,0.0139338947368421
B11_C_To_C01_Z20_01,endodermis_n_layers,1
B11_C_To_C01_Z20_01,endodermis_order,3
B11_C_To_C01_Z20_01,epidermis_cell_diameter,0.013643
B11_C_To_C01_Z20_01,epidermis_n_layers,1
B11_C_To_C01_Z20_01,epidermis_order,6
B11_C_To_C01_Z20_01,exodermis_barrier,0
B11_C_To_C01_Z20_01,exodermis_cell_diameter,0.024779
B11_C_To_C01_Z20_01,exodermis_n_layers,1
B11_C_To_C01_Z20_01,exodermis_order,5
B11_C_To_C01_Z20_01,pericycle_cell_diameter,0.0108835714285714
B11_C_To_C01_Z20_01,pericycle_n_layers,1
B11_C_To_C01_Z20_01,pericycle_order,2
B11_C_To_C01_Z20_01,phloem_max_size,0.00818938650018444
B11_C_To_C01_Z20_01,phloem_n_files,1
B11_C_To_C01_Z20_01,phloem_proportion,0
B11_C_To_C01_Z20_01,planttype_param,2
B11_C_To_C01_Z20_01,randomness_param,2
B11_C_To_C01_Z20_01,secondarygrowth_param,1
B11_C_To_C01_Z20_01,stele_cell_diameter,0.00701245167848517
B11_C_To_C01_Z20_01,stele_layer_diameter,0.10780000000000001
B11_C_To_C01_Z20_01,stele_mean_size,39.21825
B11_C_To_C01_Z20_01,stele_n_layers,5
B11_C_To_C01_Z20_01,stele_order,1
B11_C_To_C01_Z20_01,stele_SD,10.2776643365254
B11_C_To_C01_Z20_01,stele_totarea,9766.532
B11_C_To_C01_Z20_01,xylem_max_size,329.906
B11_C_To_C01_Z20_01,xylem_mean_size,214.0235
B11_C_To_C01_Z20_01,xylem_n_files,4
B11_C_To_C01_Z20_01,xylem_order,1.5
B11_D_To_C01_Z20_01,aerenchyma_n_files,10
B11_D_To_C01_Z20_01,aerenchyma_proportion,0
B11_D_To_C01_Z20_01,cortex_cell_diameter,0.0182008333333333
B11_D_To_C01_Z20_01,cortex_n_layers,3
B11_D_To_C01_Z20_01,cortex_order,4
B11_D_To_C01_Z20_01,endodermis_barrier,1
B11_D_To_C01_Z20_01,endodermis_cell_diameter,0.01180425
B11_D_To_C01_Z20_01,endodermis_n_layers,1
B11_D_To_C01_Z20_01,endodermis_order,3
B11_D_To_C01_Z20_01,epidermis_cell_diameter,0.0149035
B11_D_To_C01_Z20_01,epidermis_n_layers,1
B11_D_To_C01_Z20_01,epidermis_order,6
B11_D_To_C01_Z20_01,exodermis_barrier,1
B11_D_To_C01_Z20_01,exodermis_cell_diameter,0.0242870833333333
B11_D_To_C01_Z20_01,exodermis_n_layers,1
B11_D_To_C01_Z20_01,exodermis_order,5
B11_D_To_C01_Z20_01,pericycle_cell_diameter,0.0107647142857143
B11_D_To_C01_Z20_01,pericycle_n_layers,1
B11_D_To_C01_Z20_01,pericycle_order,2
B11_D_To_C01_Z20_01,phloem_max_size,0.0116191897560587
B11_D_To_C01_Z20_01,phloem_n_files,1
B11_D_To_C01_Z20_01,phloem_proportion,0.15525654295431
B11_D_To_C01_Z20_01,planttype_param,2
B11_D_To_C01_Z20_01,randomness_param,2
B11_D_To_C01_Z20_01,secondarygrowth_param,1
B11_D_To_C01_Z20_01,stele_cell_diameter,0.00826970916008121
B11_D_To_C01_Z20_01,stele_layer_diameter,0.13526
B11_D_To_C01_Z20_01,stele_mean_size,54.8317619047619
B11_D_To_C01_Z20_01,stele_n_layers,8
B11_D_To_C01_Z20_01,stele_order,1
B11_D_To_C01_Z20_01,stele_SD,16.9870560542572
B11_D_To_C01_Z20_01,stele_totarea,14229.412
B11_D_To_C01_Z20_01,xylem_max_size,995.359
B11_D_To_C01_Z20_01,xylem_mean_size,324.770375
B11_D_To_C01_Z20_01,xylem_n_files,8
B11_D_To_C01_Z20_01,xylem_order,1.5
B11_E_To_C01_Z20_02,aerenchyma_n_files,10
B11_E_To_C01_Z20_02,aerenchyma_proportion,0
B11_E_To_C01_Z20_02,cortex_cell_diameter,0.0234785
B11_E_To_C01_Z20_02,cortex_n_layers,2
B11_E_To_C01_Z20_02,cortex_order,4
B11_E_To_C01_Z20_02,endodermis_barrier,1
B11_E_To_C01_Z20_02,endodermis_cell_diameter,0.0194012941176471
B11_E_To_C01_Z20_02,endodermis_n_layers,1
B11_E_To_C01_Z20_02,endodermis_order,3
B11_E_To_C01_Z20_02,epidermis_cell_diameter,0.015087
B11_E_To_C01_Z20_02,epidermis_n_layers,1
B11_E_To_C01_Z20_02,epidermis_order,6
B11_E_To_C01_Z20_02,exodermis_barrier,1
B11_E_To_C01_Z20_02,exodermis_cell_diameter,0.02823125
B11_E_To_C01_Z20_02,exodermis_n_layers,1
B11_E_To_C01_Z20_02,exodermis_order,5
B11_E_To_C01_Z20_02,pericycle_cell_diameter,0.01546
B11_E_To_C01_Z20_02,pericycle_n_layers,1
B11_E_To_C01_Z20_02,pericycle_order,2
B11_E_To_C01_Z20_02,phloem_max_size,0.0163936145144577
B11_E_To_C01_Z20_02,phloem_n_files,1
B11_E_To_C01_Z20_02,phloem_proportion,0.104695919938414
B11_E_To_C01_Z20_02,planttype_param,2
B11_E_To_C01_Z20_02,randomness_param,2
B11_E_To_C01_Z20_02,secondarygrowth_param,1
B11_E_To_C01_Z20_02,stele_cell_diameter,0.0115210153865028
B11_E_To_C01_Z20_02,stele_layer_diameter,0.2598
B11_E_To_C01_Z20_02,stele_mean_size,106.699444444444
B11_E_To_C01_Z20_02,stele_n_layers,10
B11_E_To_C01_Z20_02,stele_order,1
B11_E_To_C01_Z20_02,stele_SD,35.8206021482252
B11_E_To_C01_Z20_02,stele_totarea,52709.514
B11_E_To_C01_Z20_02,xylem_max_size,3271.772
B11_E_To_C01_Z20_02,xylem_mean_size,1684.49925
B11_E_To_C01_Z20_02,xylem_n_files,8
B11_E_To_C01_Z20_02,xylem_order,1.5
B11_F_To_C01_Z10_01,aerenchyma_n_files,10
B11_F_To_C01_Z10_01,aerenchyma_proportion,0
B11_F_To_C01_Z10_01,cortex_cell_diameter,0.027329125
B11_F_To_C01_Z10_01,cortex_n_layers,2
B11_F_To_C01_Z10_01,cortex_order,4
B11_F_To_C01_Z10_01,endodermis_barrier,2
B11_F_To_C01_Z10_01,endodermis_cell_diameter,0.024643
B11_F_To_C01_Z10_01,endodermis_n_layers,1
B11_F_To_C01_Z10_01,endodermis_order,3
B11_F_To_C01_Z10_01,epidermis_cell_diameter,0.031655
B11_F_To_C01_Z10_01,epidermis_n_layers,1
B11_F_To_C01_Z10_01,epidermis_order,6
B11_F_To_C01_Z10_01,exodermis_barrier,1
B11_F_To_C01_Z10_01,exodermis_cell_diameter,0.037912
B11_F_To_C01_Z10_01,exodermis_n_layers,1
B11_F_To_C01_Z10_01,exodermis_order,5
B11_F_To_C01_Z10_01,pericycle_cell_diameter,0.017907
B11_F_To_C01_Z10_01,pericycle_n_layers,1
B11_F_To_C01_Z10_01,pericycle_order,2
B11_F_To_C01_Z10_01,phloem_max_size,0.010921
B11_F_To_C01_Z10_01,phloem_n_files,5
B11_F_To_C01_Z10_01,phloem_proportion,0.186697247706422
B11_F_To_C01_Z10_01,planttype_param,2
B11_F_To_C01_Z10_01,randomness_param,2
B11_F_To_C01_Z10_01,secondarygrowth_param,1
B11_F_To_C01_Z10_01,stele_cell_diameter,0.0188217325285489
B11_F_To_C01_Z10_01,stele_layer_diameter,0.436
B11_F_To_C01_Z10_01,stele_mean_size,285.6818
