"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","X","RSA_id","kr","Kx","SUF","RSHA_id","age"
62,63,0,0.1977,-0.2394,-11.2379,0.2018,-0.2431,-11.3324,0.1887,0.0946612381072633,0.4314,0.3922,0.1961,7.0698,1,NA,"Tomato_60d_1",7.31177750350297e-05,0.0938700072641174,0.000851871657253128,"Tomato_60d_1_20_1B_60",20
63,64,0,0.2018,-0.2431,-11.3324,0.1997,-0.2381,-11.5323,0.1887,0.199973548250762,0.4314,0.3922,0.1961,7.251,1,NA,"Tomato_60d_1",7.32869353296555e-05,0.0916409652293286,0.00180157003140042,"Tomato_60d_1_20_1B_60",20
64,65,0,0.1997,-0.2381,-11.5323,0.2074,-0.2309,-11.7034,0.1887,0.171424443997933,0.4314,0.3922,0.1961,7.4068,1,NA,"Tomato_60d_1",7.34323833092509e-05,0.0897243827292178,0.00154506767118449,"Tomato_60d_1_20_1B_60",20
65,66,0,0.2074,-0.2309,-11.7034,0.2044,-0.2203,-11.8184,0.1887,0.115526447188512,0.4314,0.3922,0.1961,7.5121,1,NA,"Tomato_60d_1",7.35306867254987e-05,0.0884290288315177,0.00104141465321426,"Tomato_60d_1_20_1B_60",20
66,67,0,0.2044,-0.2203,-11.8184,0.2028,-0.2404,-11.9777,0.1887,0.160571043466747,0.4314,0.3922,0.1961,7.6588,1,NA,"Tomato_60d_1",7.36676393481345e-05,0.0866243904954057,0.0014485102620859,"Tomato_60d_1_20_1B_60",20
67,68,0,0.2028,-0.2404,-11.9777,0.1993,-0.2445,-12.1383,0.1887,0.160690447755925,0.4314,0.3922,0.1961,7.8061,1,NA,"Tomato_60d_1",7.38051521041961e-05,0.0848123712254035,0.00145035923059005,"Tomato_60d_1_20_1B_60",20
68,69,0,0.1993,-0.2445,-12.1383,0.2106,-0.2597,-12.3373,0.1887,0.1998992996486,0.4314,0.3922,0.1961,7.99,1,NA,"Tomato_60d_1",7.39768329992385e-05,0.0825501149881097,0.00180572972493758,"Tomato_60d_1_20_1B_60",20
69,70,0,0.2106,-0.2597,-12.3373,0.2177,-0.2656,-12.4244,0.1887,0.0875878416219963,0.4314,0.3922,0.1961,8.0707,1,NA,"Tomato_60d_1",7.40521709450239e-05,0.0816810757971424,0.000791057186770669,"Tomato_60d_1_20_1B_60",20
70,71,0,0.2177,-0.2656,-12.4244,0.2308,-0.267,-12.5684,0.1887,0.144601417697061,0.4314,0.3922,0.1961,8.2042,1,NA,"Tomato_60d_1",7.41768006322896e-05,0.0802518950608272,0.00130691400305663,"Tomato_60d_1_20_1B_60",20
71,72,0,0.2308,-0.267,-12.5684,0.2297,-0.2924,-12.7668,0.1887,0.200022323754124,0.4314,0.3922,0.1961,8.3896,1,NA,"Tomato_60d_1",7.43498818608967e-05,0.0782671002405064,0.0018094216266629,"Tomato_60d_1_20_1B_60",20
