"Barrier","kr","kx","perimeter","CS_id","kAQP","kpl","Simu_ID","kw_lignin","Kr","Barrier_Name"
"b6",4.76068262786205e-08,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,4.79832223530511e-08,"En.CS-Ex.Sub"
"b9",4.94008275872573e-08,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,4.97914076580362e-08,"En.CS-Ex.LC"
"b1",7.64754559402268e-08,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,7.70800974098708e-08,"En.CS"
"b6",5.58571318062079e-08,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,5.62987576566218e-08,"En.CS-Ex.Sub"
"b9",6.23109378745715e-08,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,6.28035897533758e-08,"En.CS-Ex.LC"
"b1",1.06349855618927e-07,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,1.07190694450252e-07,"En.CS"
"b6",7.29218945644874e-08,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,7.34984403458313e-08,"En.CS-Ex.Sub"
"b9",7.77669808262548e-08,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,7.83818335394352e-08,"En.CS-Ex.LC"
"b1",1.12475233444293e-07,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,1.13364501636449e-07,"En.CS"
"b6",7.94821234399566e-08,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,8.01105366653019e-08,"En.CS-Ex.Sub"
"b9",9.75868286632027e-08,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,9.83583839651669e-08,"En.CS-Ex.LC"
"b1",1.39340400409024e-07,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_1e-16",1e-16,1.40442073925687e-07,"En.CS"
"b6",8.93772882331997e-08,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_1e-16",1e-16,9.00839360621757e-08,"En.CS-Ex.Sub"
"b9",9.77238003958559e-08,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_1e-16",1e-16,9.84964386438282e-08,"En.CS-Ex.LC"
"b1",1.43461178795798e-07,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_4.3e-07",4.3e-07,1.44595432615112e-07,"En.CS"
"b6",9.56652521283047e-08,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_4.3e-07",4.3e-07,9.64216147799498e-08,"En.CS-Ex.Sub"
"b9",1.28391856794761e-07,3.45273761789703e-11,1.00790634671229,"B04_B_To_C04_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_4.3e-07",4.3e-07,1.29406967329616e-07,"En.CS-Ex.LC"
"b1",5.58564016257865e-08,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,6.70668479294067e-08,"En.CS"
"b6",4.28855194538765e-08,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,5.14926942636945e-08,"En.CS-Ex.Sub"
"b9",4.42139736787427e-08,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,5.30877708330227e-08,"En.CS-Ex.LC"
"b1",6.11859929740037e-08,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,7.34660946061162e-08,"En.CS"
"b6",4.75643600795874e-08,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,5.71105837731686e-08,"En.CS-Ex.Sub"
"b9",5.24933447014319e-08,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,6.3028821476598e-08,"En.CS-Ex.LC"
"b1",8.65179736879445e-08,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,1.03882234007194e-07,"En.CS"
"b6",6.43814406494605e-08,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,7.73028724342335e-08,"En.CS-Ex.Sub"
"b9",6.78338562903058e-08,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,8.14481920043146e-08,"En.CS-Ex.LC"
"b1",8.9502451246096e-08,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,1.07465699764302e-07,"En.CS"
"b6",6.78872846287183e-08,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,8.15123434738532e-08,"En.CS-Ex.Sub"
"b9",8.10389585023765e-08,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,9.7303573951088e-08,"En.CS-Ex.LC"
"b1",1.12153178970972e-07,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_1e-16",1e-16,1.34662455509366e-07,"En.CS"
"b6",7.88270657697018e-08,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_1e-16",1e-16,9.46477517136961e-08,"En.CS-Ex.Sub"
"b9",8.48716466785475e-08,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_1e-16",1e-16,1.01905487207051e-07,"En.CS-Ex.LC"
"b1",1.1416003262744e-07,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_4.3e-07",4.3e-07,1.37072087083856e-07,"En.CS"
"b6",8.21608699447785e-08,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_4.3e-07",4.3e-07,9.86506543556212e-08,"En.CS-Ex.Sub"
"b9",1.05826301144188e-07,1.96757738434448e-11,1.20070119050499,"B05_A_To_C03_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_4.3e-07",4.3e-07,1.27065765770567e-07,"En.CS-Ex.LC"
"b1",6.41572920166996e-08,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,6.95814630820159e-08,"En.CS"
"b6",4.68980995950674e-08,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,5.08630941708309e-08,"En.CS-Ex.Sub"
"b9",4.85796923138128e-08,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,5.26868569575755e-08,"En.CS-Ex.LC"
"b1",7.37446956099472e-08,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,7.9979432637874e-08,"En.CS"
"b6",5.43835634961712e-08,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,5.89814157787759e-08,"En.CS-Ex.Sub"
"b9",6.07135663888723e-08,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,6.58465880568217e-08,"En.CS-Ex.LC"
"b1",1.01366441087582e-07,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,1.09936455492153e-07,"En.CS"
"b6",7.10778620333857e-08,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,7.70871319153764e-08,"En.CS-Ex.Sub"
"b9",7.55565226294656e-08,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,8.1944440369759e-08,"En.CS-Ex.LC"
"b1",1.06953547989488e-07,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,1.15995923721096e-07,"En.CS"
"b6",7.67428619446429e-08,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,8.32310786094196e-08,"En.CS-Ex.Sub"
"b9",9.38851034519413e-08,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,1.01822609004322e-07,"En.CS-Ex.LC"
"b1",1.31809174298952e-07,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_1e-16",1e-16,1.42952966172048e-07,"En.CS"
"b6",8.67584574028694e-08,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_1e-16",1e-16,9.40934414635063e-08,"En.CS-Ex.Sub"
"b9",9.44782427831365e-08,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_1e-16",1e-16,1.02465895233817e-07,"En.CS-Ex.LC"
"b1",1.35549756679344e-07,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_4.3e-07",4.3e-07,1.47009795670693e-07,"En.CS"
"b6",9.20079319552949e-08,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_4.3e-07",4.3e-07,9.97867322538112e-08,"En.CS-Ex.Sub"
"b9",1.22598371222749e-07,3.26074966050932e-11,1.08454488795918,"B05_C_To_C01_Z20_01",8e-04,6.13425925925926e-19,"8e-04_5.3e-12_4.3e-07",4.3e-07,1.32963436781754e-07,"En.CS-Ex.LC"
"b1",6.71325224222057e-08,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,8.30342439247277e-08,"En.CS"
"b6",4.9108360741819e-08,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,6.07406880816225e-08,"En.CS-Ex.Sub"
"b9",5.08616972820584e-08,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_1e-16",1e-16,6.29093385167835e-08,"En.CS-Ex.LC"
"b1",7.67458111311181e-08,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,9.49246381892911e-08,"En.CS"
"b6",5.64577079644609e-08,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,6.98308796602204e-08,"En.CS-Ex.Sub"
"b9",6.33267513398289e-08,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",1e-04,6.13425925925926e-19,"1e-04_5.3e-12_4.3e-07",4.3e-07,7.83269975265018e-08,"En.CS-Ex.LC"
"b1",1.04754371222899e-07,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,1.29567602980855e-07,"En.CS"
"b6",7.36343509832604e-08,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,9.1076164579817e-08,"En.CS-Ex.Sub"
"b9",7.82199192347513e-08,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_1e-16",1e-16,9.6747919177881e-08,"En.CS-Ex.LC"
"b1",1.10217675500814e-07,2.67619059136169e-10,1.23687060948662,"B05_D_To_C03_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12_4.3e-07",4.3e-07,1.3632500347289e-07,"En.CS"
