"Barrier","kr","kx","perimeter","CS_id","kAQP","kpl","Simu_ID","Kr","Barrier_Name"
"b1",1.004918134155e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12",1.03062469181567e-07,"En.CS"
"b2",4.79409967638052e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12",4.91673633261471e-08,"En.Sub*"
"b3",4.79409967638052e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12",4.91673633261471e-08,"En.Sub"
"b4",4.50075429228679e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12",4.61588695414134e-08,"En.Sub-Ex.CS"
"b5",8.83913008692814e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12",9.06524164719055e-08,"En.CS-Ex.CS"
"b6",7.04969345197152e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12",7.23002988441686e-08,"En.CS-Ex.Sub"
"b7",1.47187169888974e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12",1.5095232780688e-07,"Ex.CS"
"b8",3.98601944187962e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12",4.08798480118263e-08,"En.Sub-Ex.Sub"
"b9",7.49476562907092e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",4e-04,6.13425925925926e-19,"4e-04_5.3e-12",7.68648734076927e-08,"En.CS-Ex.LC"
"b0",6.33398297182789e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",5e-04,6.13425925925926e-19,"5e-04_5.3e-12",6.49601099476123e-08,NA
"b1",1.09530184857445e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",5e-04,6.13425925925926e-19,"5e-04_5.3e-12",1.1233204892669e-07,"En.CS"
"b2",4.8943494198952e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",5e-04,6.13425925925926e-19,"5e-04_5.3e-12",5.01955053956629e-08,"En.Sub*"
"b3",4.8943494198952e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",5e-04,6.13425925925926e-19,"5e-04_5.3e-12",5.01955053956629e-08,"En.Sub"
"b4",4.63534472339286e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",5e-04,6.13425925925926e-19,"5e-04_5.3e-12",4.75392030916351e-08,"En.Sub-Ex.CS"
"b5",9.7337711609999e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",5e-04,6.13425925925926e-19,"5e-04_5.3e-12",9.9827683092267e-08,"En.CS-Ex.CS"
"b6",7.54876045577083e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",5e-04,6.13425925925926e-19,"5e-04_5.3e-12",7.74186339553021e-08,"En.CS-Ex.Sub"
"b7",1.5507116086763e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",5e-04,6.13425925925926e-19,"5e-04_5.3e-12",1.5903799717286e-07,"Ex.CS"
"b8",4.07407592501062e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",5e-04,6.13425925925926e-19,"5e-04_5.3e-12",4.17829383502803e-08,"En.Sub-Ex.Sub"
"b9",8.08074379443115e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",5e-04,6.13425925925926e-19,"5e-04_5.3e-12",8.28745526597535e-08,"En.CS-Ex.LC"
"b0",6.89948482562368e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",6e-04,6.13425925925926e-19,"6e-04_5.3e-12",7.07597880903452e-08,NA
"b1",1.17696975858786e-07,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",6e-04,6.13425925925926e-19,"6e-04_5.3e-12",1.20707752551501e-07,"En.CS"
"b2",4.9725765882612e-08,2.79836812770474e-11,1.02558074810968,"B04_B_To_C01_Z20_01",6e-04,6.13425925925926e-19,"6e-04_5.3e-12",5.09977881742161e-08,"En.Sub*"
