"","root","x","y","Barrier","Kr","Kx","perimeter","Kr2","param_id"
"43042","root2",21,966.812554245207,"b4",3.49022020334138e-05,0.0458266467243432,0.151568314678994,4.0396067168303e-08,"xylem_mean_size"
"43043","root20",11,339.697524285443,"b4",4.53366144039094e-05,0.0210560121777423,0.125667313249169,5.24729333378581e-08,"xylem_mean_size"
"43044","root29",11,395.465228062844,"b5",7.24318485706411e-05,0.0214857691812985,0.122676734734651,8.38331580678716e-08,"xylem_mean_size"
"43045","root3",20,834.304195001245,"b4",4.36711570555601e-05,0.0988050710143457,0.129699341022228,5.05453206661575e-08,"xylem_mean_size"
"43046","root15",30,2572.42867880421,"b6",3.86346374017896e-05,3.14766782863938,0.334042682014934,4.47160155113306e-08,"xylem_mean_size"
"43047","root29",6,239.507824130688,"b1",7.48457403854073e-05,0.0172096971876568,0.113519500591459,8.66270143349622e-08,"xylem_mean_size"
"43048","root22",26,1263.86844305018,"b6",6.51727341631095e-05,0.457141767593526,0.142446909028334,7.54314052813767e-08,"xylem_mean_size"
"43049","root21",12,488.023549621949,"b5",7.66962693328028e-05,0.0399221754021747,0.126400270476209,8.87688302462995e-08,"xylem_mean_size"
"43050","root14",25,1635.66372031879,"b5",7.42241586419263e-05,0.228068900481624,0.141211363510043,8.5907591020748e-08,"xylem_mean_size"
"43051","root4",26,1237.59850686378,"b4",4.01523567274012e-05,0.320614326290959,0.175673208418805,4.64726351011588e-08,"xylem_mean_size"
"43052","root4",17,631.120058840568,"b4",3.94792848830307e-05,0.0824660279847161,0.127259513990488,4.5693616762767e-08,"xylem_mean_size"
"43053","root8",29,1577.22472973163,"b5",5.05935037463124e-05,1.88031701104412,0.331392226687715,5.85572960026764e-08,"xylem_mean_size"
"43054","root26",10,320.625465067674,"b4",3.5928667076628e-05,0.0101915995896898,0.155468694557727,4.15841054127639e-08,"xylem_mean_size"
"43055","root19",5,185.387864194207,"b1",7.43491072383974e-05,0.0163110116016097,0.114959362858659,8.60522074518488e-08,"xylem_mean_size"
"43056","root12",25,1736.64307717236,"b5",8.56597418749792e-05,0.238013391507294,0.126259297140581,9.91432197627074e-08,"xylem_mean_size"
"43057","root1",11,394.875192217194,"b4",3.62137656276628e-05,0.0176857936769739,0.126718282438619,4.19140805875727e-08,"xylem_mean_size"
"43058","root28",10,259.30297692003,"b4",2.83145128564587e-05,0.00519386798958631,0.156085071213986,3.27714269171976e-08,"xylem_mean_size"
"43059","root27",10,506.508067261546,"b1",7.55920358628509e-05,0.0154957181801891,0.11646261748988,8.749078224867e-08,"xylem_mean_size"
"43060","root18",14,301.785568002354,"b5",5.91972767247575e-05,0.0353127511144064,0.149161817567135,6.85153665795804e-08,"xylem_mean_size"
"43061","root1",26,1307.19661928608,"b5",8.96675607127206e-05,0.303043369901571,0.157024621662112,1.03781898973056e-07,"xylem_mean_size"
"43062","root23",8,544.201196597707,"b1",7.24390902359692e-05,0.00833704899581021,0.107789441504337,8.38415396249643e-08,"xylem_mean_size"
"43063","root17",30,1276.07870808603,"b5",5.48682769153283e-05,1.13086496898137,0.384247260596147,6.35049501334818e-08,"xylem_mean_size"
"43064","root15",13,494.090436297736,"b6",5.29181121128481e-05,0.0162665775483711,0.150660115243892,6.1247814945426e-08,"xylem_mean_size"
"43065","root25",30,3193.91964661315,"b1",5.06689666137851e-05,4.05199294035116,0.333953201662173,5.86446372844735e-08,"xylem_mean_size"
"43066","root8",20,1214.37003107688,"b1",7.11920899633028e-05,0.102391601356094,0.170055916907509,8.23982522723412e-08,"xylem_mean_size"
"43067","root6",5,163.764930507991,"b6",5.01725226418839e-05,0.0292148673673024,0.142477795005503,5.80700493540323e-08,"xylem_mean_size"
"43068","root13",9,542.897530906681,"b5",6.06344062676165e-05,0.0224111539475435,0.115339048901449,7.01787109578895e-08,"xylem_mean_size"
"43069","root8",26,1373.9548651137,"b4",4.181153191863e-05,0.660330575198928,0.200619832708149,4.83929767576736e-08,"xylem_mean_size"
"43070","root29",23,921.349910689079,"b5",7.85540763384536e-05,0.0895175838298678,0.123778686003789,9.09190698361731e-08,"xylem_mean_size"
"43071","root2",5,278.726594087558,"b1",8.15334675559975e-05,0.0116497504743459,0.1077492712124,9.4367439300923e-08,"xylem_mean_size"
"43072","root4",17,631.120058840568,"b5",7.02951503289249e-05,0.0824660279847161,0.127259513990488,8.13601276955149e-08,"xylem_mean_size"
"43073","root5",16,374.598086723615,"b1",7.43124799627406e-05,0.034574972107158,0.11777433456543,8.60098147716905e-08,"xylem_mean_size"
"43074","root26",26,1182.48548367804,"b5",6.94735579715936e-05,0.534897688619086,0.187895516428122,8.04092106152704e-08,"xylem_mean_size"
"43075","root15",27,1942.15470537866,"b1",8.20646345606067e-05,0.336626701677746,0.225255555581591,9.49822159266281e-08,"xylem_mean_size"
"43076","root3",5,198.958534710841,"b1",8.16805891985414e-05,0.0199208086235901,0.116906743927851,9.45377189797933e-08,"xylem_mean_size"
"43077","root21",16,452.911121426282,"b4",3.61236851823175e-05,0.0580072119513942,0.136474819838543,4.18098208128675e-08,"xylem_mean_size"
"43078","root26",12,483.632380850185,"b4",3.5664164495953e-05,0.0104886874530399,0.123780326423624,4.12779681666123e-08,"xylem_mean_size"
"43079","root18",28,2078.37453423464,"b1",7.39242523257556e-05,1.10681505952508,0.229388793573701,8.55604772288838e-08,"xylem_mean_size"
"43080","root20",3,177.63245813771,"b1",8.0365682858046e-05,0.00846358475379954,0.104364077932739,9.30158366412569e-08,"xylem_mean_size"
"43081","root27",29,1808.96012827747,"b5",5.29988064838303e-05,1.0018049159973,0.266572779786225,6.13412112081369e-08,"xylem_mean_size"
"43082","root24",11,417.680615133657,"b4",3.70918296987702e-05,0.0255157690524142,0.134425308420388,4.29303584476507e-08,"xylem_mean_size"
"43083","root8",30,1160.38652565273,"b5",5.73786456730209e-05,1.03290928775735,0.301171074275128,6.64104695289594e-08,"xylem_mean_size"
"43084","root11",5,257.850420638187,"b1",7.73766412733921e-05,0.0162338228951156,0.110755604047475,8.95562977701297e-08,"xylem_mean_size"
"43085","root24",19,639.76429018012,"b1",8.29216972401945e-05,0.111187109790507,0.146385395202501,9.59741866205955e-08,"xylem_mean_size"
"43086","root20",24,1315.48719733578,"b1",7.87635166779742e-05,0.0895287689483385,0.134141625994701,9.11614776365442e-08,"xylem_mean_size"
"43087","root23",28,1337.96395677048,"b1",6.4570557109474e-05,0.847034619893128,0.192313970803541,7.47344410989282e-08,"xylem_mean_size"
"43088","root8",26,1373.9548651137,"b5",6.55370038396255e-05,0.660330575198928,0.200619832708149,7.58530137032702e-08,"xylem_mean_size"
"43089","root5",16,374.598086723615,"b4",3.71630256849624e-05,0.034574972107158,0.11777433456543,4.30127612094472e-08,"xylem_mean_size"
"43090","root24",8,270.396652887475,"b5",6.24324637387637e-05,0.00403140151396878,0.114707480777869,7.22597959939395e-08,"xylem_mean_size"
"43091","root5",22,1012.41388588439,"b4",3.57876058006352e-05,0.0568323373233849,0.14556481584144,4.14208400470315e-08,"xylem_mean_size"
"43092","root9",14,604.980111050617,"b6",5.48850420904165e-05,0.0448610988404333,0.145577804282404,6.35243542713154e-08,"xylem_mean_size"
"43093","root30",26,1737.68840166474,"b5",7.14090993889775e-05,0.463854495381853,0.206032973804285,8.26494205890943e-08,"xylem_mean_size"
"43094","root15",27,1942.15470537866,"b4",4.95317587127203e-05,0.336626701677746,0.225255555581591,5.73284244360189e-08,"xylem_mean_size"
"43095","root18",25,1389.49638353365,"b5",7.01305394395475e-05,0.345402106274593,0.148169558445702,8.11696058328096e-08,"xylem_mean_size"
"43096","root19",21,762.98337787739,"b5",7.58469207334695e-05,0.0321303290503115,0.123950376843848,8.77857878859601e-08,"xylem_mean_size"
"43097","root27",29,1808.96012827747,"b6",4.54647147638541e-05,1.0018049159973,0.266572779786225,5.26211976433496e-08,"xylem_mean_size"
"43098","root21",24,810.788467796461,"b5",8.33028347100112e-05,0.181948318674911,0.13081683709958,9.64153179514019e-08,"xylem_mean_size"
"43099","root29",6,239.507824130688,"b6",5.56874393580476e-05,0.0172096971876568,0.113519500591459,6.44530548125551e-08,"xylem_mean_size"
"43100","root16",2,208.184360511501,"b6",5.73763757847389e-05,0.0155457610855621,0.114176389074465,6.64078423434478e-08,"xylem_mean_size"
"43101","root2",1,239.03715351064,"b6",5.23174206126569e-05,0.011502949061584,0.118560537574892,6.05525701535381e-08,"xylem_mean_size"
"43102","root16",15,534.504538285122,"b5",5.70225182654993e-05,0.0233957823705277,0.136243786314335,6.59982850295131e-08,"xylem_mean_size"
"43103","root29",17,563.441416033875,"b4",4.30147563354666e-05,0.042848864649644,0.131500633884196,4.97855976104937e-08,"xylem_mean_size"
"43104","root17",5,277.169039288783,"b1",7.34153939801799e-05,0.023327432189117,0.142466241150218,8.49715208103934e-08,"xylem_mean_size"
"43105","root28",17,623.342204445846,"b1",7.29759156749282e-05,0.0648080032917647,0.138164887546118,8.44628653645002e-08,"xylem_mean_size"
"43106","root16",30,2209.16919265468,"b6",5.21794798790785e-05,3.19366089251407,0.267998573766775,6.03929165267112e-08,"xylem_mean_size"
"43107","root6",29,2082.93665913062,"b1",7.01233316165958e-05,0.68087414037237,0.200682576444104,8.1161263445134e-08,"xylem_mean_size"
"43108","root25",14,576.826251209576,"b1",6.48375654520741e-05,0.0458155775695784,0.155446449014444,7.50434785324932e-08,"xylem_mean_size"
"43109","root19",5,185.387864194207,"b6",5.56662371415711e-05,0.0163110116016097,0.114959362858659,6.44285152101517e-08,"xylem_mean_size"
"43110","root24",8,270.396652887475,"b6",5.18774837530436e-05,0.00403140151396878,0.114707480777869,6.00433839734301e-08,"xylem_mean_size"
"43111","root30",26,1737.68840166474,"b6",5.89545916706568e-05,0.463854495381853,0.206032973804285,6.82344811002972e-08,"xylem_mean_size"
"43112","root1",27,1433.08061954442,"b4",4.55384961392292e-05,0.472590503364662,0.229075015690611,5.27065927537375e-08,"xylem_mean_size"
"43113","root2",8,406.540937587445,"b4",3.19569186017431e-05,0.0198556334964126,0.154180349720083,3.6987174307573e-08,"xylem_mean_size"
"43114","root23",22,917.609071844339,"b4",3.69762765489098e-05,0.06320673344238,0.144702839774416,4.2796616376053e-08,"xylem_mean_size"
"43115","root15",29,2020.0560568516,"b4",4.62001450103847e-05,0.503189650062595,0.194128409382829,5.34723900583156e-08,"xylem_mean_size"
"43116","root17",0,165.377837302653,"b4",4.12459611547849e-05,0.0111079450120826,0.101198861879286,4.77383809661862e-08,"xylem_mean_size"
"43117","root19",26,1184.82212739534,"b1",7.53389338335252e-05,0.184282595038606,0.167482361667483,8.71978400850986e-08,"xylem_mean_size"
"43118","root22",27,1600.96711680962,"b6",5.72032681542722e-05,0.307563515079039,0.154160088557477,6.62074862896669e-08,"xylem_mean_size"
"43119","root9",22,1367.4314625049,"b4",3.42131373788529e-05,0.0916233850623299,0.144329541783645,3.95985386329316e-08,"xylem_mean_size"
"43120","root24",28,1125.81587682293,"b1",7.60433622736391e-05,1.55069529514418,0.221392116606718,8.80131507796749e-08,"xylem_mean_size"
"43121","root7",15,358.105406538107,"b5",7.39343941550066e-05,0.081730155473021,0.122375064653552,8.55722154571836e-08,"xylem_mean_size"
"43122","root13",29,2695.27881236029,"b1",7.09672135104455e-05,1.13210268145824,0.224609573235084,8.21379786000527e-08,"xylem_mean_size"
"43123","root18",15,600.419275451841,"b5",8.13040925112065e-05,0.0697809468009385,0.116037919491367,9.41019589250075e-08,"xylem_mean_size"
"43124","root9",10,505.316804755154,"b4",3.5592826542838e-05,0.0141857388268694,0.130626468248649,4.11954010912477e-08,"xylem_mean_size"
"43125","root2",17,647.192714364821,"b4",4.08630483375481e-05,0.0716649937400736,0.128139770714829,4.72951948351251e-08,"xylem_mean_size"
"43126","root25",14,576.826251209576,"b4",3.68056830580209e-05,0.0458155775695784,0.155446449014444,4.25991702060427e-08,"xylem_mean_size"
"43127","root22",20,747.954692576021,"b6",4.70390742644217e-05,0.0988023864471598,0.171758537102976,5.44433729912288e-08,"xylem_mean_size"
"43128","root21",11,313.389049208201,"b6",5.76549455314124e-05,0.0207417086799523,0.133943615816797,6.67302610317273e-08,"xylem_mean_size"
"43129","root2",27,1744.15663706348,"b5",7.82152521835367e-05,0.54326744759099,0.166283309370139,9.05269122494638e-08,"xylem_mean_size"
"43130","root1",27,1433.08061954442,"b5",6.43498436162262e-05,0.472590503364662,0.229075015690611,7.44789856669285e-08,"xylem_mean_size"
"43131","root20",12,419.570225519493,"b5",6.4373277315477e-05,0.0213963648471409,0.153297687330769,7.45061080040243e-08,"xylem_mean_size"
"43132","root21",7,383.548877143029,"b1",7.53403032796308e-05,0.0150545178467107,0.109224152792749,8.71994250921653e-08,"xylem_mean_size"
"43133","root24",23,924.423095514473,"b1",8.20356683936453e-05,0.17155947494135,0.145344266645325,9.49486902704228e-08,"xylem_mean_size"
"43134","root21",12,488.023549621949,"b1",8.48401740882332e-05,0.0399221754021747,0.126400270476209,9.81946459354551e-08,"xylem_mean_size"
"43135","root3",21,1118.11361759555,"b5",8.05443632998399e-05,0.0888643956098411,0.135822459638634,9.3222642708148e-08,"xylem_mean_size"
"43136","root19",28,1321.32434170119,"b4",4.69747844213451e-05,0.671473886258334,0.146595981150475,5.43689634506309e-08,"xylem_mean_size"
"43137","root6",9,268.429726144105,"b1",7.14300237462033e-05,0.0226221207418676,0.111554950898756,8.26736385951427e-08,"xylem_mean_size"
"43138","root24",28,1125.81587682293,"b4",4.44169750017406e-05,1.55069529514418,0.221392116606718,5.14085358816442e-08,"xylem_mean_size"
"43139","root28",17,623.342204445846,"b5",6.82344280239107e-05,0.0648080032917647,0.138164887546118,7.89750324350818e-08,"xylem_mean_size"
"43140","root13",29,2695.27881236029,"b4",4.74042378906043e-05,1.13210268145824,0.224609573235084,5.48660160770883e-08,"xylem_mean_size"
"43141","root26",0,116.740108267291,"b1",5.84464944588423e-05,0.00850375148384909,0.147775331504976,6.76464056236601e-08,"xylem_mean_size"
"43142","root2",17,647.192714364821,"b5",7.16897523804954e-05,0.0716649937400736,0.128139770714829,8.29742504403882e-08,"xylem_mean_size"
"43143","root24",18,405.845111402751,"b4",3.54257057818048e-05,0.0447986975126656,0.144347145201927,4.10019742844963e-08,"xylem_mean_size"
"43144","root21",26,1677.77594458599,"b6",5.72937674847984e-05,0.225276797308733,0.142168098922129,6.63122308851833e-08,"xylem_mean_size"
"43145","root25",14,576.826251209576,"b5",6.19260504236093e-05,0.0458155775695784,0.155446449014444,7.167366947177e-08,"xylem_mean_size"
