"","root","x","y","Barrier","Kr","Kx","perimeter","Kr2","param_id"
"38811","root5",29,1250.5567,"b6",0.000103941447011186,3.74163339450991,0.140109654482926,1.20302600707391e-07,"xylem_mean_size"
"38812","root24",27,1615.9494,"b5",0.000100296988361849,1.47927733998889,0.157371754496636,1.16084477270659e-07,"xylem_mean_size"
"38813","root4",15,662.6098,"b4",4.54470085626401e-05,0.26910859782908,0.142186284072911,5.26007043549075e-08,"xylem_mean_size"
"38814","root23",22,890.7401,"b1",0.000104214944067069,1.01773687189328,0.156930469314487,1.20619148225774e-07,"xylem_mean_size"
"38815","root17",18,803.8766,"b4",5.18900794135036e-05,0.561113791115722,0.158864289347251,6.00579622841477e-08,"xylem_mean_size"
"38816","root11",16,934.3166,"b6",3.84206306870098e-05,0.0475311437220282,0.185411896731603,4.44683225544095e-08,"xylem_mean_size"
"38817","root12",29,1640.7649,"b1",0.000103010562694611,2.27859995319164,0.198078163226274,1.19225188303948e-07,"xylem_mean_size"
"38818","root6",6,278.3248,"b1",7.91100919167805e-05,0.0254957464933415,0.143619732510257,9.15626063851626e-08,"xylem_mean_size"
"38819","root10",6,362.3543,"b5",7.03928755312961e-05,0.0840288437911877,0.153641326307263,8.14732355686297e-08,"xylem_mean_size"
"38820","root6",15,465.4331,"b1",6.25688881999246e-05,0.0651963991153964,0.185326032860656,7.24176946758387e-08,"xylem_mean_size"
"38821","root9",24,1672.4321,"b6",6.88046075950539e-05,0.635707123183112,0.11987602380458,7.96349624942753e-08,"xylem_mean_size"
"38822","root3",7,221.1239,"b4",3.85457539674254e-05,0.00928198219557123,0.147865679864693,4.46131411660016e-08,"xylem_mean_size"
"38823","root15",5,351.8698,"b5",7.07055070832535e-05,0.065165750427321,0.137479922792906,8.18350776426545e-08,"xylem_mean_size"
"38824","root15",10,342.8374,"b1",5.76998088167651e-05,0.02342833129545,0.148936962804496,6.67821861305152e-08,"xylem_mean_size"
"38825","root16",29,2150.3118,"b5",0.000103596406854843,6.59890810163273,0.186243825175899,1.19903248674587e-07,"xylem_mean_size"
"38826","root17",16,561.6683,"b5",7.58721462496554e-05,0.143437695330267,0.130052915445534,8.78149840852493e-08,"xylem_mean_size"
"38827","root12",3,286.7692,"b6",4.05408125973132e-05,0.0873332352245668,0.163149629613289,4.69222368024458e-08,"xylem_mean_size"
"38828","root10",23,1530.8466,"b1",8.0886170657797e-05,0.815800503176847,0.158560279674095,9.36182530761539e-08,"xylem_mean_size"
"38829","root1",27,1367.6216,"b6",6.12458515084943e-05,1.20808690388678,0.202474090384131,7.08864022089054e-08,"xylem_mean_size"
"38830","root28",16,563.4151,"b5",6.84117937998833e-05,0.146294091772952,0.153248224806225,7.91803168980131e-08,"xylem_mean_size"
"38831","root6",27,1459.8979,"b4",4.59463470351939e-05,1.04908053409896,0.192431566465858,5.31786424018448e-08,"xylem_mean_size"
"38832","root4",15,662.6098,"b5",7.97158163291739e-05,0.26910859782908,0.142186284072911,9.22636763069142e-08,"xylem_mean_size"
"38833","root2",16,552.2413,"b5",7.99659048506831e-05,0.322814326634987,0.145885064301102,9.25531306142165e-08,"xylem_mean_size"
"38834","root14",26,2142.7588,"b1",7.60979101315239e-05,1.42079051818964,0.215913565421771,8.8076284874449e-08,"xylem_mean_size"
"38835","root5",20,882.5279,"b1",6.2431753878315e-05,0.533115366367133,0.197030746288904,7.22589743961979e-08,"xylem_mean_size"
"38836","root30",21,1196.8925,"b5",7.12975666099623e-05,0.250445678628716,0.153058800498168,8.25203317244934e-08,"xylem_mean_size"
"38837","root9",13,443.861,"b6",5.79511170990151e-05,0.143316284832319,0.152347503263746,6.70730521979341e-08,"xylem_mean_size"
